id_parque,nome,activo,id_entidade,capacidade_max,ocupacao,data_ocupacao,latitude,longitude,tipo,data_ocupacao_hora,data_ocupacao_data
P065,LIDL Av. Inf. D. Henrique,1,7,114,6,2023-03-30 23:06:22,38.7574416099006,-9.10375700300085,Superfície,23,2023-03-30
P042,Alcântara,1,7,82,57,2023-03-30 23:06:24,38.706007,-9.175066,Superfície,23,2023-03-30
P064,Olivais,1,7,89,2,2023-03-30 23:06:22,38.716819,-9.128867,Estrutura,23,2023-03-30
P043,Ameixoeira,1,7,71,9,2023-03-30 23:06:23,38.779591,-9.158056,Superfície,23,2023-03-30
P035,Parque Mayer,1,7,46,18,2023-03-30 23:06:19,38.719062,-9.145547,Superfície,23,2023-03-30
P061,Parque Vila Maria,1,7,68,61,2023-03-30 23:06:22,38.725041,-9.166372,Estrutura,23,2023-03-30
P037,Rego,1,7,118,14,2023-03-30 23:06:19,38.744582,-9.159954,Estrutura,23,2023-03-30
P062,Parque da Graça,1,7,30,11,2023-03-30 23:06:22,38.716819,-9.128867,Estrutura,23,2023-03-30
P030,Combatentes,1,7,30,-4,2023-03-30 23:06:20,38.745735,-9.162904,Superfície,23,2023-03-30
P063,Cosme Damião,1,7,133,6,2023-03-30 23:06:23,38.716819,-9.128867,Estrutura,23,2023-03-30
P031,Calçada do Combro,1,7,89,61,2023-03-30 23:06:20,38.711188,-9.147541,Estrutura,23,2023-03-30
P057,Manuel Gouveia,1,7,90,12,2023-03-30 23:06:23,38.744327,-9.130995,Estrutura,23,2023-03-30
P032,Estrada da Luz,1,7,96,3,2023-03-30 23:06:20,38.749827,-9.170943,Superfície,23,2023-03-30
P044,Telheiras Nascente,1,7,26,1,2023-03-30 23:06:23,38.761512,-9.164886,Estrutura,23,2023-03-30
P033,Lumiar,1,7,56,34,2023-03-30 23:06:20,38.773079,-9.159321,Estrutura,23,2023-03-30
P048,Campo das Cebolas,1,7,105,48,2023-03-30 23:06:24,38.70888,-9.131141,Estrutura,23,2023-03-30
P034,Avenida Lusíada,1,7,92,36,2023-03-30 23:06:19,38.75214,-9.188309,Superfície,23,2023-03-30
P040,Mercado de Alvalade,1,7,93,34,2023-03-30 23:06:19,38.755424,-9.139498,Superfície,23,2023-03-30
P025,Campo Grande,1,7,88,26,2023-03-30 23:06:21,38.757586,-9.155495,Superfície,23,2023-03-30
P027,Casal Vistoso,1,7,55,37,2023-03-30 23:06:21,38.742375,-9.128965,Estrutura,23,2023-03-30
P028,Chão do Loureiro,1,7,70,60,2023-03-30 23:06:21,38.712416,-9.135017,Estrutura,23,2023-03-30
P029,Colégio Militar,1,7,255,5,2023-03-30 23:06:19,38.752172,-9.188327,Superfície,23,2023-03-30
P020,Sousa Pinto,1,7,35,0,2023-03-30 23:06:21,38.724475,-9.157032,"Superfície
",23,2023-03-30
P023,Areeiro,1,7,60,-19,2023-03-30 23:06:20,38.744081,-9.132344,Superfície,23,2023-03-30
P024,Belém,1,7,75,10,2023-03-30 23:06:21,38.69723,-9.203909,Superfície,23,2023-03-30
P016,Universidade,1,7,146,27,2023-03-30 23:06:22,38.750671,-9.158464,Superfície,23,2023-03-30
P021,Alto dos Moinhos,1,7,144,35,2023-03-30 23:06:21,38.74784,-9.177575,Estrutura,23,2023-03-30
P058,Campo de Ourique,1,7,54,14,2023-03-30 23:06:23,38.719168,-9.170647,Estrutura,23,2023-03-30
