id_parque,nome,activo,id_entidade,capacidade_max,ocupacao,data_ocupacao,latitude,longitude,tipo,data_ocupacao_hora,data_ocupacao_data
P014,Alto do Parque,1,3,474,230,2022-07-02 09:14:05,38.731063,-9.153596,Estrutura,9,2022-07-02
P002,Picoas Plaza,1,5,400,209,2022-07-02 09:14:05,38.7313746,-9.1483930362,Estrutura,9,2022-07-02
P057,Manuel Gouveia,1,7,398,34,2022-07-02 09:14:06,38.744327,-9.130995,Estrutura,9,2022-07-02
P019,El Corte Inglés,1,4,2000,1005,2022-07-02 09:14:05,38.7352591,-9.15528429,Estrutura,9,2022-07-02
P063,Cosme Damião,1,7,286,122,2022-07-02 09:14:07,38.716819,-9.128867,Estrutura,9,2022-07-02
P029,Colégio Militar,1,7,415,210,2022-07-02 09:14:10,38.752172,-9.188327,Superfície,9,2022-07-02
P008,Valbom,1,2,513,357,2022-07-02 09:14:05,38.7366155609067,-9.15176054084168,Estrutura,9,2022-07-02
P064,Olivais,1,7,248,223,2022-07-02 09:14:07,38.716819,-9.128867,Estrutura,9,2022-07-02
P003,Saldanha,1,2,503,359,2022-07-02 09:14:06,38.7335172346174,-9.14573228492395,Estrutura,9,2022-07-02
P048,Campo das Cebolas,1,7,205,84,2022-07-02 09:14:07,38.70888,-9.131141,Estrutura,9,2022-07-02
P005,Saldanha Residence,1,2,503,315,2022-07-02 09:14:06,38.7323043382636,-9.14548192620168,Estrutura,9,2022-07-02
P042,Alcântara,1,7,202,74,2022-07-02 09:14:07,38.706007,-9.175066,Superfície,9,2022-07-02
P006,Arco Cego,1,2,255,210,2022-07-02 09:14:06,38.737444,-9.14209400000004,Estrutura,9,2022-07-02
P043,Ameixoeira,1,7,501,64,2022-07-02 09:14:07,38.779591,-9.158056,Superfície,9,2022-07-02
P018,Roma,1,2,602,463,2022-07-02 09:14:06,38.7492735,-9.1418056,Estrutura,9,2022-07-02
P044,Telheiras Nascente,1,7,109,24,2022-07-02 09:14:07,38.761512,-9.164886,Estrutura,9,2022-07-02
P046,Torres de Lisboa,1,7,98,29,2022-07-02 09:14:12,38.756548,-9.176896,Superfície,9,2022-07-02
P035,Parque Mayer,1,7,81,46,2022-07-02 09:14:08,38.719062,-9.145547,Superfície,9,2022-07-02
P012,Berna,1,2,354,235,2022-07-02 09:14:09,38.7394789,-9.1520223,Estrutura,9,2022-07-02
P047,Damasceno Monteiro,1,7,81,37,2022-07-02 09:14:12,38.718095,-9.130581,Superfície,9,2022-07-02
P037,Rego,1,7,238,35,2022-07-02 09:14:08,38.744582,-9.159954,Estrutura,9,2022-07-02
P034,Avenida Lusíada,1,7,92,79,2022-07-02 09:14:08,38.75214,-9.188309,Superfície,9,2022-07-02
P040,Mercado de Alvalade,1,7,118,53,2022-07-02 09:14:07,38.755424,-9.139498,Superfície,9,2022-07-02
P049,Pq. de Santos - D. Luis I,1,7,202,31,2022-07-02 09:14:09,38.707681,-9.15221,Estrutura,9,2022-07-02
P030,Combatentes,1,7,155,29,2022-07-02 09:14:08,38.745735,-9.162904,Superfície,9,2022-07-02
P031,Calçada do Combro,1,7,248,0,2022-07-02 09:14:08,38.711188,-9.147541,Estrutura,9,2022-07-02
P032,Estrada da Luz,1,7,98,86,2022-07-02 09:14:08,38.749827,-9.170943,Superfície,9,2022-07-02
P033,Lumiar,1,7,160,53,2022-07-02 09:14:08,38.773079,-9.159321,Estrutura,9,2022-07-02
P027,Casal Vistoso,1,7,256,70,2022-07-02 09:14:09,38.742375,-9.128965,Estrutura,9,2022-07-02
P028,Chão do Loureiro,1,7,192,34,2022-07-02 09:14:09,38.712416,-9.135017,Estrutura,9,2022-07-02
P023,Areeiro,1,7,180,38,2022-07-02 09:14:09,38.744081,-9.132344,Superfície,9,2022-07-02
P024,Belém,1,7,76,52,2022-07-02 09:14:08,38.69723,-9.203909,Superfície,9,2022-07-02
P025,Campo Grande,1,7,196,74,2022-07-02 09:14:08,38.757586,-9.155495,Superfície,9,2022-07-02
P020,Sousa Pinto,1,7,135,34,2022-07-02 09:14:09,38.724475,-9.157032,"Superfície
",9,2022-07-02
P016,Universidade,1,7,247,136,2022-07-02 09:14:09,38.750671,-9.158464,Superfície,9,2022-07-02
P001,Marquês de Pombal,1,2,1145,833,2022-07-02 09:14:06,38.7247865,-9.15104299999,Estrutura,9,2022-07-02
P009,Centro Campo Pequeno,1,1,1250,656,2022-07-02 09:14:09,38.7423520945922,-9.14493799209595,Estrutura,9,2022-07-02
P004,Atrium Saldanha,1,6,251,220,2022-07-02 09:14:06,38.7332687356758,-9.1446021616448,Estrutura,9,2022-07-02
P007,Alves Redol,1,2,166,96,2022-07-02 09:14:05,38.735297,-9.14040499999999,Estrutura,9,2022-07-02
P017,Praça de Londres,1,2,240,155,2022-07-02 09:14:05,38.7408069,-9.13714389999996,Estrutura,9,2022-07-02
P015,Cidade Universitaria,1,7,620,147,2022-07-02 09:14:11,38.750596,-9.155042,Superfície,9,2022-07-02
P058,Campo de Ourique,1,7,0,0,2022-07-02 09:14:12,38.719168,-9.170647,Estrutura,9,2022-07-02
P061,Parque Vila Maria,1,7,67,0,2022-07-02 09:14:12,38.725041,-9.166372,Estrutura,9,2022-07-02
P062,Parque da Graça,1,7,115,0,2022-07-02 09:14:13,38.716819,-9.128867,Estrutura,9,2022-07-02
P041,Santos-Rio,1,7,210,134,2022-07-02 09:14:13,38.706138,-9.151017,Superfície,9,2022-07-02
